code	name	price	price_pdv
PFSCP163	"TRESOR DES MERS BEAUTIFYING OIL FACE, BODY, HAIR - 200ML"	0.00	0.00
PFSCP184	CREAMY BODY SCRUB with OLIGOMER Crystals 450ML	413.30	516.62
PFSCP317	CELLULI ATTACK CONCENTRATE FOR STUBBORN AREAS - 200ML	313.28	391.60
PFSCP318	REMODELE TONIC BODY GEL - 250 ML	278.97	348.71
PFSCP321	ULTRA-NOURISHING MASSAGE OIL 500ML	296.16	370.20
PFSCV012	CRYOTONIC SOOTHING LEG GEL - 150 ML	145.48	181.85
PFSCV145	BEAUTIFUL LEGS - 150ml	217.81	272.26
PFSCV163	"TRESOR DES MERS BEAUTIFYING OIL FACE, BODY, HAIR - 100ML"	0.00	0.00
PFSCV163FA	"4 TRESOR DES MERS BEAUTIFYING OIL FACE, BODY, HAIR UNFILLED BOTTLES 4x100ML"	0.00	0.00
PFSCV163G	"TRESOR DES MERS BEAUTIFYING OIL FACE, BODY, HAIR GIFT - 100ML"	0.00	0.00
PFSOV162	SUN SOLUTION SUNSCREEN SPF15 FACE AND BODY-125ML	158.91	198.64
PFSOV172	SUN SOLUTION SUNSCREEN SPF30 FACE AND BODY - 125ML	0.00	0.00
PFSVP038	ACCEPT NEUTRALIZING CREAM - 100 ML	252.90	316.12
PFSVP108	OLIGOMARINE FLAWLESS-SKIN TONIC 1L	323.01	403.76
PFSVP118	MARINE SCRUB CREAMY EXFOLIANT - 150ML	169.30	211.62
PFSVP134	DOUCEUR INTEMPORELLE RESTORATIVE SHIELD CREAM - 100ML	305.11	381.39
PFSVP275	ENZYMATIC EXFOLIANT - 150ML	275.98	344.98
PFSVP300	HYDRA-MELTING MASSAGE CREAM 250 ML	272.29	340.36
PFSVP311	HYDRA ORIGINAL NON-OILY ULTRA-MOISTURIZING FLUID - 100ML	225.26	281.58
PFSVP317	NATURAL GIGARTINA - 240G	495.29	619.11
PFSVP321	RESUBSTANCE SKIN RESILIENCE RICH CREAM 100ML	0.00	0.00
PFSVP326	INITIAL YOUTH MULTI-ACTION EARLY WRINKLE FLUID - 100ML	195.43	244.29
PFSVP347	RESURFACING MULTI-EXFOLIANT - 80ML	0.00	0.00
PFSVP390	PIONNIERE XMF PERFECTION YOUTH CREAM 100ML	543.02	678.78
PFSVP610	WHITE LUMINATION BRIGHTENING SERUM 100ML	374.45	468.06
PFSVP611	WHITE LUMINATION COMPLEXION RECOVERY MOISTURIZING CREAM - 100ML	234.99	293.74
PFSVP614	WHITE LUMINATION ESSENTIAL MINERALS BRIGHTENING MASK - 150ML	261.85	327.31
PFSVP615	LUMINOUS COMPLEXION MASK - PLASTICIZING WITH VITAMINE C 500G	598.22	747.78
PFSVP616	PERFECTING MASSAGE CREAM - 100 ML	177.53	221.91
PFSVP800	GLOBALPUR DETOXIFYING CLEANSING GEL -250ML	142.50	178.12
PFSVV321	RESUBSTANCE SKIN RESILIENCE RICH CREAM 50ML	0.00	0.00
PFSVV321G	GIFT RESUBSTANCE SKIN RESILIENCE RICH CREAM - 50ML	0.00	0.00
PFSVV324	INITIAL YOUTH MULTI-ACTION EARLY WRINKLE CREAM - 50ML	236.49	295.61
PFSVV507	2017 PHYTOMER HYDRATION TRAVEL SET AND ITS PRODUCTS - 4 X 15 ML	0.00	0.00
PFSVV508	2017 PHYTOMER YOUTH TRAVEL SET AND ITS PRODUCTS 4x15 ml	0.00	0.00
PFSVV610	WHITE LUMINATION BRIGHTENING SERUM -30ML	297.65	372.06
PFSVV611	WHITE LUMINATION COMPLEXION RECOVERY MOISTURIZING CREAM - 50ML	249.14	311.42
PFSVV800	GLOBALPUR DETOXIFYING CLEANSING GEL -150ML	107.41	134.26
PFSVV818	RASAGEPERFECT SHAVING MASK 150ML	97.74	122.18
PFSVV861	RASAGE PERFECT ALCOHOL-FREE SOOTHING AFTER-SHAVE - 100ML	97.74	122.18
PFSVV914	VEGETAL EXFOLIANT - 15 ML	0.00	0.00
PFSVV922	DOUX VISAGE VELVET CLEANSING CREAM 15ML	0.00	0.00
PFSVV924	HYDRASEA THIRST-RELIEF REHYDRATING MASK 15ML	0.00	0.00
PFSVV926	EXPERT YOUTH WRINKLE CORRECTION CREAM 15ML	0.00	0.00
PFSVV927	NIGHT RECHARGE YOUTH ENHANCING CREAM 15ML	0.00	0.00
PPDEP970GB	2017 TRESOR DES MERS CONSUMER BROCHURE GB	0.00	0.00
PPGIF0037	2017 PHYTOMER MOISTURIZING PROMOTIONAL SET - 2x15 ml	0.00	0.00
PPGIF0039	2017 PHYTOMER CITY PROMOTIONAL SET - 2X15 ML	0.00	0.00
PPKIT727GB	SET OF 15 SHELF-TALKERS LABELS FOR RANGES OF PRODUCTS PHYTOMER 2017 - GB	0.00	0.00
